Year,Month,Province,District,Suspected_Cases,RDT_Tested,Microscopy_Tested,Confirmed_Cases
2023,10,Copperbelt,Masaiti,2754,2466,72,977
2023,11,Copperbelt,Masaiti,7207,6004,160,2424
2023,12,Copperbelt,Masaiti,9666,8024,481,3333
2023,1,Central,Kabwe,7663,6678,295,2843
2023,2,Central,Kabwe,7573,6174,284,2529
2023,3,Central,Kabwe,10188,8659,534,2851
2023,4,Central,Kabwe,7472,6396,156,1890
2023,5,Central,Kabwe,7564,6845,333,2422
2023,6,Central,Kabwe,5529,4606,239,1686
2023,7,Central,Kabwe,4427,3783,77,1094
2023,8,Central,Kabwe,3499,2949,224,773
2023,9,Central,Kabwe,1904,1651,86,678
2023,10,Central,Kabwe,2387,2158,58,718
2023,11,Central,Kabwe,3867,3128,110,1137
2023,12,Central,Kabwe,10832,8585,497,2221
2023,1,Central,Chibombo,14334,11605,483,3307
2023,2,Central,Chibombo,22969,18333,1171,5691
2023,3,Central,Chibombo,20262,16600,566,4658
2023,4,Central,Chibombo,13471,12056,407,3767
2023,5,Central,Chibombo,7219,5939,331,1811
2023,6,Central,Chibombo,9393,7698,311,1949
2023,7,Central,Chibombo,2534,2163,120,820
2023,8,Central,Chibombo,4264,3465,242,1173
2023,9,Central,Chibombo,3805,3369,159,998
2023,10,Central,Chibombo,2614,2271,106,1020
2023,11,Central,Chibombo,6462,5557,247,1579
2023,12,Central,Chibombo,7149,6033,127,2684
2023,1,Central,Kapiri Mposhi,7637,6421,362,2716
2023,2,Central,Kapiri Mposhi,7617,6613,267,1954
2023,3,Central,Kapiri Mposhi,5761,5001,362,2193
2023,4,Central,Kapiri Mposhi,7559,6489,324,2130
2023,5,Central,Kapiri Mposhi,13554,11191,366,3114
2023,6,Central,Kapiri Mposhi,4607,4005,195,1462
2023,7,Central,Kapiri Mposhi,2042,1661,115,732
2023,8,Central,Kapiri Mposhi,3078,2576,63,764
2023,9,Central,Kapiri Mposhi,2022,1884,37,792
2023,10,Central,Kapiri Mposhi,2157,1934,60,702
2023,11,Central,Kapiri Mposhi,8421,7042,172,2001
2023,12,Central,Kapiri Mposhi,5765,5026,291,1878
2023,1,Central,Mkushi,7612,6348,464,1753
2023,2,Central,Mkushi,10547,8507,544,3535
2023,3,Central,Mkushi,9534,8777,288,3134
2023,4,Central,Mkushi,11894,10104,534,2748
2023,5,Central,Mkushi,5895,5049,220,1642
2023,6,Central,Mkushi,4057,3565,164,1382
2023,7,Central,Mkushi,2869,2562,145,967
2023,8,Central,Mkushi,2904,2593,157,914
2023,9,Central,Mkushi,2039,1738,111,767
2023,10,Central,Mkushi,2504,2257,70,863
2023,11,Central,Mkushi,7202,6106,476,1627
2023,12,Central,Mkushi,7374,6285,171,1830
2023,1,Central,Mumbwa,8438,6876,472,2748
2023,2,Central,Mumbwa,17523,15081,638,4448
2023,3,Central,Mumbwa,19658,15972,1169,4624
2023,4,Central,Mumbwa,5850,5003,375,2098
2023,5,Central,Mumbwa,6134,5259,161,2005
2023,6,Central,Mumbwa,8242,6919,193,1958
2023,7,Central,Mumbwa,2897,2438,135,874
2023,8,Central,Mumbwa,2522,2048,119,870
2023,9,Central,Mumbwa,1815,1594,41,715
2023,10,Central,Mumbwa,1969,1729,98,686
2023,11,Central,Mumbwa,8554,6973,267,1951
2023,12,Central,Mumbwa,5574,4561,333,1799
2023,1,Central,Serenje,4566,4030,255,1419
2023,2,Central,Serenje,5778,4799,268,1667
2023,3,Central,Serenje,4685,4208,178,1490
2023,4,Central,Serenje,8535,6860,467,1801
2023,5,Central,Serenje,4825,3794,232,1084
2023,6,Central,Serenje,2744,2307,69,1029
2023,7,Central,Serenje,4065,3502,249,915
2023,8,Central,Serenje,2523,2029,154,684
2023,9,Central,Serenje,2046,1845,43,464
2023,10,Central,Serenje,1987,1782,37,614
2023,11,Central,Serenje,3049,2516,73,764
2023,12,Central,Serenje,4059,3352,130,1070
2023,1,Central,Itezhi-Tezhi,9674,7926,533,3294
2023,2,Central,Itezhi-Tezhi,19325,15611,601,4959
2023,3,Central,Itezhi-Tezhi,12110,10251,453,3029
2023,4,Central,Itezhi-Tezhi,12499,10476,741,3093
2023,5,Central,Itezhi-Tezhi,9097,7812,507,2672
2023,6,Central,Itezhi-Tezhi,3371,2809,189,1252
2023,7,Central,Itezhi-Tezhi,6539,5540,152,1405
2023,8,Central,Itezhi-Tezhi,2736,2267,147,821
2023,9,Central,Itezhi-Tezhi,2063,1772,74,726
2023,10,Central,Itezhi-Tezhi,4248,3873,120,1120
2023,11,Central,Itezhi-Tezhi,9965,8227,607,2379
2023,12,Central,Itezhi-Tezhi,7097,5752,240,2144
2023,1,Central,Chitambo,4660,4150,236,1403
2023,2,Central,Chitambo,4656,3721,167,1650
2023,3,Central,Chitambo,10444,9024,187,2549
2023,4,Central,Chitambo,10058,8770,560,2332
2023,5,Central,Chitambo,4993,4174,289,1437
2023,6,Central,Chitambo,3400,2854,86,905
2023,7,Central,Chitambo,1617,1388,79,528
2023,8,Central,Chitambo,1377,1164,32,439
2023,9,Central,Chitambo,2368,2027,142,599
2023,10,Central,Chitambo,1670,1533,50,477
2023,11,Central,Chitambo,3552,3078,184,1255
2023,12,Central,Chitambo,4255,3633,170,989
2023,1,Central,Luano,5916,5370,243,1362
2023,2,Central,Luano,4805,3891,270,1730
2023,3,Central,Luano,8252,7480,247,2543
2023,4,Central,Luano,9078,7459,276,2711
2023,5,Central,Luano,6606,5299,214,1675
2023,6,Central,Luano,4602,4038,184,1240
2023,7,Central,Luano,2314,1927,123,670
2023,8,Central,Luano,1928,1636,35,722
2023,9,Central,Luano,1028,841,39,370
2023,10,Central,Luano,2728,2139,143,635
2023,11,Central,Luano,3815,3272,73,820
2023,12,Central,Luano,3882,3240,156,1102
2023,1,Central,Ngabwe,6961,6384,211,1606
2023,2,Central,Ngabwe,9806,8531,433,3109
2023,3,Central,Ngabwe,10685,8613,434,2748
2023,4,Central,Ngabwe,9897,8518,385,2802
2023,5,Central,Ngabwe,5193,4625,320,2040
2023,6,Central,Ngabwe,6057,4975,279,1303
2023,7,Central,Ngabwe,2777,2459,160,821
2023,8,Central,Ngabwe,1723,1472,89,565
2023,9,Central,Ngabwe,1964,1730,109,735
2023,10,Central,Ngabwe,3390,2984,61,831
2023,11,Central,Ngabwe,4281,3549,144,1284
2023,12,Central,Ngabwe,4379,3785,228,1272
2023,1,Central,Shibuyunji,5913,5212,341,1907
2023,2,Central,Shibuyunji,10394,9292,545,2631
2023,3,Central,Shibuyunji,10701,8847,626,2391
2023,4,Central,Shibuyunji,5306,4309,129,1168
2023,5,Central,Shibuyunji,3948,3449,150,1148
2023,6,Central,Shibuyunji,2751,2387,100,996
2023,7,Central,Shibuyunji,2112,1730,37,485
2023,8,Central,Shibuyunji,3595,2907,202,934
2023,9,Central,Shibuyunji,1466,1212,84,360
2023,10,Central,Shibuyunji,3022,2442,163,712
2023,11,Central,Shibuyunji,2758,2419,154,828
2023,12,Central,Shibuyunji,5174,4442,183,1643
2023,1,Southern,Choma,5109,4172,152,1706
2023,2,Southern,Choma,6290,5614,208,1825
2023,3,Southern,Choma,6115,4915,268,1713
2023,4,Southern,Choma,3825,3476,111,1534
2023,5,Southern,Choma,3578,2956,70,1267
2023,6,Southern,Choma,3273,2663,163,920
2023,7,Southern,Choma,854,733,50,236
2023,8,Southern,Choma,2494,2010,131,560
2023,9,Southern,Choma,1558,1354,34,505
2023,10,Southern,Choma,2240,1759,120,479
2023,11,Southern,Choma,2960,2568,63,796
2023,12,Southern,Choma,4800,4251,144,1314
2023,1,Southern,Livingstone,3198,2578,141,656
2023,2,Southern,Livingstone,1291,1082,33,435
2023,3,Southern,Livingstone,2405,2014,117,727
2023,4,Southern,Livingstone,1820,1463,109,401
2023,5,Southern,Livingstone,1193,1029,65,427
2023,6,Southern,Livingstone,859,705,51,260
2023,7,Southern,Livingstone,936,742,56,198
2023,8,Southern,Livingstone,478,414,18,182
2023,9,Southern,Livingstone,682,545,29,141
2023,10,Southern,Livingstone,878,792,29,227
2023,11,Southern,Livingstone,1701,1341,77,463
2023,12,Southern,Livingstone,2268,1840,106,501
2023,1,Southern,Mazabuka,1813,1565,111,649
2023,2,Southern,Mazabuka,2421,2180,82,810
2023,3,Southern,Mazabuka,4890,4050,177,1535
2023,4,Southern,Mazabuka,3680,3213,163,875
2023,5,Southern,Mazabuka,2703,2302,103,633
2023,6,Southern,Mazabuka,1529,1272,84,515
2023,7,Southern,Mazabuka,419,368,25,149
2023,8,Southern,Mazabuka,1387,1166,44,292
2023,9,Southern,Mazabuka,639,514,34,221
2023,10,Southern,Mazabuka,598,491,24,147
2023,11,Southern,Mazabuka,1207,961,50,431
2023,12,Southern,Mazabuka,1981,1634,109,612
2023,1,Southern,Monze,3599,2903,170,821
2023,2,Southern,Monze,3461,2742,168,1064
2023,3,Southern,Monze,4548,3764,143,1254
2023,4,Southern,Monze,3227,2847,150,1145
2023,5,Southern,Monze,2793,2261,166,783
2023,6,Southern,Monze,920,740,32,259
2023,7,Southern,Monze,1024,919,28,399
2023,8,Southern,Monze,921,771,60,340
2023,9,Southern,Monze,1491,1221,57,362
2023,10,Southern,Monze,1279,1134,77,409
2023,11,Southern,Monze,1933,1719,60,708
2023,12,Southern,Monze,2766,2285,176,1024
2023,1,Southern,Namwala,3674,2866,215,1149
2023,2,Southern,Namwala,3116,2710,160,872
2023,3,Southern,Namwala,6038,5535,184,1944
2023,4,Southern,Namwala,4029,3294,168,1206
2023,5,Southern,Namwala,3224,2699,198,1186
2023,6,Southern,Namwala,2622,2141,85,615
2023,7,Southern,Namwala,1600,1371,69,601
2023,8,Southern,Namwala,1358,1118,32,426
2023,9,Southern,Namwala,1848,1545,42,398
2023,10,Southern,Namwala,1340,1235,41,384
2023,11,Southern,Namwala,2744,2190,141,838
2023,12,Southern,Namwala,3005,2434,102,697
2023,1,Southern,Kalomo,1771,1575,93,580
2023,2,Southern,Kalomo,2883,2588,58,1140
2023,3,Southern,Kalomo,2482,2147,56,863
2023,4,Southern,Kalomo,1333,1071,51,421
2023,5,Southern,Kalomo,2242,1945,133,593
2023,6,Southern,Kalomo,889,708,38,280
2023,7,Southern,Kalomo,534,454,29,185
2023,8,Southern,Kalomo,658,578,45,208
2023,9,Southern,Kalomo,989,818,55,234
2023,10,Southern,Kalomo,736,597,43,184
2023,11,Southern,Kalomo,1270,1001,70,365
2023,12,Southern,Kalomo,1774,1472,58,551
2023,1,Southern,Siavonga,3833,3201,128,854
2023,2,Southern,Siavonga,3719,3057,205,1242
2023,3,Southern,Siavonga,3218,2822,58,1222
2023,4,Southern,Siavonga,4442,3984,203,1159
2023,5,Southern,Siavonga,2805,2310,122,869
2023,6,Southern,Siavonga,2215,1865,115,627
2023,7,Southern,Siavonga,928,785,33,307
2023,8,Southern,Siavonga,2076,1888,57,473
2023,9,Southern,Siavonga,760,639,13,280
2023,10,Southern,Siavonga,809,647,33,283
2023,11,Southern,Siavonga,2594,2186,71,870
2023,12,Southern,Siavonga,3923,3123,223,1285
2023,1,Southern,Sinazongwe,1915,1695,106,506
2023,2,Southern,Sinazongwe,2274,1986,47,595
2023,3,Southern,Sinazongwe,2814,2223,171,592
2023,4,Southern,Sinazongwe,2001,1620,104,605
2023,5,Southern,Sinazongwe,1180,990,54,430
2023,6,Southern,Sinazongwe,781,680,39,232
2023,7,Southern,Sinazongwe,407,358,27,136
2023,8,Southern,Sinazongwe,446,390,29,136
2023,9,Southern,Sinazongwe,664,602,17,182
2023,10,Southern,Sinazongwe,867,769,29,237
2023,11,Southern,Sinazongwe,1300,1041,72,334
2023,12,Southern,Sinazongwe,1690,1330,101,467
2023,1,Southern,Gwembe,4453,3624,185,1159
2023,2,Southern,Gwembe,5181,4450,211,1376
2023,3,Southern,Gwembe,7031,5602,360,1882
2023,4,Southern,Gwembe,7209,5732,366,1908
2023,5,Southern,Gwembe,4745,4190,137,1147
2023,6,Southern,Gwembe,1997,1665,131,607
2023,7,Southern,Gwembe,1571,1365,89,454
2023,8,Southern,Gwembe,1317,1053,48,460
2023,9,Southern,Gwembe,740,583,38,225
2023,10,Southern,Gwembe,1600,1339,44,572
2023,11,Southern,Gwembe,3342,2701,129,1082
2023,12,Southern,Gwembe,2869,2448,108,1014
2023,1,Southern,Kazungula,1661,1519,48,654
2023,2,Southern,Kazungula,2526,2230,54,847
2023,3,Southern,Kazungula,4192,3642,149,1071
2023,4,Southern,Kazungula,2103,1904,39,746
2023,5,Southern,Kazungula,1514,1255,83,516
2023,6,Southern,Kazungula,2326,1920,115,534
2023,7,Southern,Kazungula,822,651,42,279
2023,8,Southern,Kazungula,817,709,20,267
2023,9,Southern,Kazungula,1011,904,31,283
2023,10,Southern,Kazungula,966,791,33,308
2023,11,Southern,Kazungula,1389,1127,40,438
2023,12,Southern,Kazungula,1584,1378,76,405
2023,1,Southern,Zimba,2096,1685,113,753
2023,2,Southern,Zimba,2136,1696,124,565
2023,3,Southern,Zimba,2808,2415,77,811
2023,4,Southern,Zimba,1596,1258,78,519
2023,5,Southern,Zimba,1965,1764,106,724
2023,6,Southern,Zimba,1381,1162,82,498
2023,7,Southern,Zimba,687,568,11,144
2023,8,Southern,Zimba,365,315,14,138
2023,9,Southern,Zimba,560,494,29,196
2023,10,Southern,Zimba,969,818,47,306
2023,11,Southern,Zimba,1843,1522,116,521
2023,12,Southern,Zimba,3084,2437,142,636
2023,1,Southern,Chikankata,1591,1460,47,486
2023,2,Southern,Chikankata,1751,1521,46,388
2023,3,Southern,Chikankata,3426,2691,207,1017
2023,4,Southern,Chikankata,3000,2461,136,662
2023,5,Southern,Chikankata,1415,1186,41,443
2023,6,Southern,Chikankata,798,697,50,286
2023,7,Southern,Chikankata,1072,852,48,316
2023,8,Southern,Chikankata,425,362,26,139
2023,9,Southern,Chikankata,706,638,30,181
2023,10,Southern,Chikankata,1050,945,27,238
2023,11,Southern,Chikankata,427,373,15,155
2023,12,Southern,Chikankata,1818,1667,64,518
2023,1,Eastern,Chipata,21703,19174,1329,5969
2023,2,Eastern,Chipata,11234,9555,685,3874
2023,3,Eastern,Chipata,13253,10877,536,3144
2023,4,Eastern,Chipata,6993,6017,238,1994
2023,5,Eastern,Chipata,6827,5837,178,2570
2023,6,Eastern,Chipata,7559,6660,397,2161
2023,7,Eastern,Chipata,11951,9876,305,2901
2023,8,Eastern,Chipata,5410,4585,311,1490
2023,9,Eastern,Chipata,3795,3201,97,1310
2023,10,Eastern,Chipata,7139,5697,411,1425
2023,11,Eastern,Chipata,7669,6924,284,2366
2023,12,Eastern,Chipata,17995,14951,1113,4450
2023,1,Eastern,Petauke,17484,14399,731,5790
2023,2,Eastern,Petauke,18667,15914,361,6407
2023,3,Eastern,Petauke,23748,20207,553,8178
2023,4,Eastern,Petauke,28358,23209,1112,7362
2023,5,Eastern,Petauke,17811,15332,357,4446
2023,6,Eastern,Petauke,6375,5575,233,2428
2023,7,Eastern,Petauke,9437,8256,372,2531
2023,8,Eastern,Petauke,3981,3527,111,1343
2023,9,Eastern,Petauke,5232,4423,330,1416
2023,10,Eastern,Petauke,9016,8119,297,3320
2023,11,Eastern,Petauke,9133,7246,380,3249
2023,12,Eastern,Petauke,13775,12070,439,4732
2023,1,Eastern,Katete,17002,13800,824,4750
2023,2,Eastern,Katete,22332,20231,412,5283
2023,3,Eastern,Katete,20622,16190,1193,6912
2023,4,Eastern,Katete,21340,17373,795,5532
2023,5,Eastern,Katete,10053,8748,433,2691
2023,6,Eastern,Katete,4283,3549,144,1528
2023,7,Eastern,Katete,8527,6795,403,2469
2023,8,Eastern,Katete,3799,3219,175,872
2023,9,Eastern,Katete,2773,2363,51,940
2023,10,Eastern,Katete,3683,2878,198,1260
2023,11,Eastern,Katete,11515,9698,596,2527
2023,12,Eastern,Katete,11302,9425,652,3909
2023,1,Eastern,Lundazi,11735,9702,284,3507
2023,2,Eastern,Lundazi,22208,17854,1173,6522
2023,3,Eastern,Lundazi,16711,14653,360,5654
2023,4,Eastern,Lundazi,19945,16129,643,6030
2023,5,Eastern,Lundazi,13557,12032,799,4241
2023,6,Eastern,Lundazi,14926,12874,504,3339
2023,7,Eastern,Lundazi,8033,7159,262,2560
2023,8,Eastern,Lundazi,7193,5918,302,1740
2023,9,Eastern,Lundazi,3922,3213,124,972
2023,10,Eastern,Lundazi,7543,6873,267,1844
2023,11,Eastern,Lundazi,6731,6045,359,2592
2023,12,Eastern,Lundazi,14986,12200,444,4386
2023,1,Eastern,Nyimba,8568,7346,453,2884
2023,2,Eastern,Nyimba,13415,11255,483,3112
2023,3,Eastern,Nyimba,10826,9658,369,3247
2023,4,Eastern,Nyimba,11261,9201,428,3341
2023,5,Eastern,Nyimba,3635,3309,76,1360
2023,6,Eastern,Nyimba,5194,4748,174,1453
2023,7,Eastern,Nyimba,5487,4417,315,1113
2023,8,Eastern,Nyimba,3375,2917,69,733
2023,9,Eastern,Nyimba,2548,2322,73,819
2023,10,Eastern,Nyimba,3717,3360,85,899
